CYP46A1	CYP4F8	CYP2U1	CYP2R1	CYP4F22	CYP1A1	CYP1A2	CYP1B1	CYP2A6	CYP2A7	CYP3A7	CYP2A13	CYP2B6	CYP2B7P1	CYP2C19	CYP2C8	CYP2C9	CYP2C18	CYP2E1	CYP2J2	CYP3A4	CYP3A5	CYP4A11	CYP4B1	CYP7A1	CYP8B1	CYP11A1	CYP11B1	CYP11B2	CYP17A1	CYP19A1	CYP21A2	CYP24A1	CYP26A1	CYP27A1	CYP27B1	CYP51A1	CYP4Z2P	CYP4Z1	CYP4X1	CYP1B1-AS1	CYP4V2	CYP2S1	CYP27C1	CYP39A1	CYP2W1	CYP26B1	CYP20A1	CYP4F11	CYP3A43	CYP4F12	CYP4F2	CYP7B1
LN18_CENTRAL_NERVOUS_SYSTEM	3.929711	3.799846	7.209328	7.676518	3.520239	5.412861	5.115138	9.601055	5.229722	3.842258	3.720332	5.896473	4.429427	5.45367	3.806087	3.380221	4.422001	4.126429	3.857053	4.080114	4.89949	4.532155	4.66151	3.802322	3.557136	3.996456	3.758049	3.624878	4.758788	3.913344	4.040526	5.210308	4.301686	4.309604	5.488255	5.132904	9.874183	3.860665	3.417869	3.658503	3.79309	5.456134	6.158796	4.33462	3.870538	3.846356	5.100711	7.57276	7.006089	3.950481	4.037304	4.097509	3.743712
X769P_KIDNEY	3.817872	3.922891	5.938882	8.605647	3.885856	5.004155	5.185521	4.191461	5.543558	3.424688	3.722758	6.184657	4.400073	5.093745	4.819672	3.786017	4.750237	3.889619	3.985004	4.761343	5.213398	6.875987	5.092884	3.757869	4.038015	3.980018	3.986902	3.713288	4.824739	4.061621	4.215986	5.098731	3.79258	4.217591	6.240012	4.931057	8.703542	3.862105	3.509425	3.301529	3.440503	8.416995	3.958096	4.126769	3.865677	3.720482	4.392427	7.45529	4.227143	4.074881	4.5833	4.403685	3.85604
X786O_KIDNEY	4.650735	3.820013	5.352957	7.899611	4.068636	4.993419	5.141746	8.65879	5.354604	3.664141	3.968718	5.869579	4.759215	5.66411	4.58805	3.637335	4.327936	3.940495	4.226388	4.238594	4.813256	4.905355	5.08095	3.801954	3.834516	4.069639	4.246859	3.779276	4.874734	4.419542	4.402952	4.753514	3.439305	4.421371	5.705126	6.330943	8.522255	4.105744	3.604792	3.615017	3.685662	5.095817	3.836267	4.023885	4.022243	3.799712	4.426105	7.852124	4.046878	3.997409	4.187329	4.375235	4.788488
CAOV3_OVARY	3.991611	3.849463	6.722694	7.391793	3.778612	5.469017	5.039186	8.632326	5.267055	4.353482	3.716712	6.416681	4.19379	5.443349	4.596479	3.525941	4.233847	3.900881	7.257948	7.935353	4.924425	4.604622	3.928726	4.456088	3.562625	4.070587	5.896914	3.641111	4.37366	4.357209	4.065224	3.951556	9.20058	7.197079	6.173985	5.802708	9.426679	3.965297	3.853529	6.076459	3.802445	5.35874	5.938288	4.005208	5.191916	3.595028	4.580921	7.687772	6.331763	4.088522	4.257951	4.316578	6.22964
HEPG2_LIVER	4.357903	3.752356	5.776576	4.480755	3.957965	8.212671	5.131707	3.976805	5.448622	3.651198	7.300577	6.646256	4.160027	5.461603	4.332028	3.710628	4.342342	3.998667	4.038398	7.396113	5.191645	6.031049	4.651247	3.868106	4.259792	6.580945	3.736132	3.601504	5.160794	4.077478	6.897746	5.04564	9.335743	4.214866	10.55604	5.617821	9.314096	3.68416	3.769016	3.478416	3.505914	4.701822	4.827214	3.76843	3.836436	4.963394	4.149823	8.417364	6.46704	5.441302	6.578533	6.585662	3.85201
MOLT4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	4.405033	3.739676	7.055189	9.116605	3.769323	4.954641	5.290307	4.919686	5.312822	3.674487	3.860893	6.421047	4.806589	5.807035	4.452134	3.865218	4.545025	3.934864	5.035692	5.039993	4.927401	4.662735	4.906246	3.912032	4.062166	4.311022	3.953247	3.758739	4.713388	4.165764	4.385414	4.902117	3.479782	5.046848	5.600932	6.173839	8.407446	4.195076	3.250608	3.538106	3.419271	6.750252	3.976273	3.989639	3.814881	3.587694	4.307828	8.685837	3.58733	4.027931	4.433865	5.153514	3.837914
NCIH524_LUNG	3.87642	3.664017	6.482724	7.732002	3.574667	5.081447	5.070835	6.008751	5.243961	3.704805	3.785974	5.798928	4.129564	5.08835	4.142153	4.678533	4.288059	3.826825	3.7351	5.09765	4.814076	4.607677	4.10073	3.730974	3.674732	4.001047	3.8398	3.464943	4.459461	3.657688	3.944206	5.206731	6.804185	4.472439	6.580562	6.352323	9.532333	3.855889	3.466496	3.352774	3.567745	4.849152	3.698759	4.590498	3.789073	3.693635	4.80835	6.95191	3.391178	3.933275	3.984226	4.114764	4.426795
NCIH209_LUNG	4.154641	3.586679	5.956339	8.494269	3.563801	5.991592	5.183966	4.01152	5.187027	3.548134	3.704163	5.665482	4.003321	5.414942	4.650056	6.725521	4.596502	3.900709	3.879476	5.482283	4.655023	4.588414	4.159021	3.90272	3.592076	4.012307	3.808122	3.663755	4.498059	4.080777	4.337412	4.353468	3.525387	4.281109	6.235337	5.249849	8.860371	4.221236	3.490708	3.285257	3.424052	5.40343	3.751429	4.022759	3.76557	3.816318	4.697036	7.205664	3.34567	3.8622	4.056187	4.230206	4.277744
MIAPACA2_PANCREAS	4.268489	3.738205	6.745934	8.482898	3.970984	6.763886	4.988962	6.186439	5.390512	3.554744	3.722453	5.99513	4.262969	5.464137	4.820802	3.468084	4.790608	4.034962	3.824163	4.067301	5.167667	4.430982	4.202775	3.891984	3.812271	4.083609	4.623948	3.737171	4.686828	4.14596	4.377081	5.108484	3.709011	4.091917	5.674815	5.921876	9.509189	3.791823	6.587076	3.731827	3.518572	6.262693	4.452909	9.454947	3.741503	3.993909	4.833297	7.47339	3.337111	3.844655	4.560194	4.159998	3.746127
MCAS_OVARY	3.978712	4.024543	5.473685	7.741874	3.682379	8.126949	4.933752	4.650928	5.645041	3.932077	3.76196	6.330512	4.145853	5.133967	4.918097	3.936295	4.27524	4.116707	4.308481	4.17283	5.07723	5.059137	5.149107	3.717315	4.058914	4.163358	4.163641	3.912513	5.063125	4.114381	4.378261	5.391909	3.982017	4.277181	5.856699	5.590444	9.655508	4.040729	3.581749	3.822456	3.547319	6.411727	6.328332	3.980072	5.087795	3.567363	4.20641	7.343541	4.350223	4.209205	4.522906	3.8073	3.86752
SBC5_LUNG	4.195632	3.70124	6.153513	8.769629	3.693597	5.489947	4.885779	4.559392	5.45763	3.435877	3.757538	5.994311	4.351773	5.307726	4.560081	7.514864	4.317741	3.941285	4.418118	3.794651	4.932228	4.49956	5.879012	3.793657	3.857956	3.970098	4.11764	3.63523	4.592859	4.472896	4.221693	4.701978	3.36667	5.853909	5.348403	4.94856	9.848935	4.425792	3.424077	3.523972	3.26316	7.268296	3.81169	3.921906	3.924477	3.657721	6.658996	8.194818	3.426365	3.965916	4.150019	4.326375	3.513938
COLO829_SKIN	4.288573	3.753021	7.601554	7.977742	3.491132	10.04969	5.004253	4.581622	5.214749	3.975765	3.609558	5.687544	4.085611	5.372162	4.783471	3.578211	4.662909	3.963898	3.870992	6.038405	4.770678	4.319898	4.359445	3.812451	3.54857	4.211075	3.924058	3.75899	4.612452	4.063493	4.522026	4.833798	3.694607	7.178138	9.52267	5.257634	9.923191	3.848281	3.429363	3.38255	3.605186	6.183505	4.05002	3.760471	3.889264	3.85414	5.150639	7.212161	4.118035	3.886754	4.503345	4.153822	5.21537
VCAP_PROSTATE	4.184959	9.192773	8.393695	7.899471	3.71513	5.40529	5.262918	5.944622	5.163565	3.779568	4.144849	5.748291	4.535685	5.589642	4.466972	3.779455	4.580218	3.891708	4.06031	8.332608	5.067515	4.587306	4.737838	4.274825	3.898933	3.759869	3.947387	3.693856	4.532418	3.956569	4.052317	4.612599	3.466567	4.047157	5.783917	5.823466	10.64566	5.026874	3.993003	6.526888	3.529124	6.494544	3.952505	3.701777	6.600098	3.663895	4.267483	7.457045	3.919684	4.143049	5.048818	4.01391	4.754416
COLO704_OVARY	4.465358	3.491366	7.113302	6.514206	3.395412	6.023011	5.068183	4.758247	5.470189	3.650285	3.782831	6.023962	4.300045	5.381904	4.843781	3.635251	4.397233	3.798057	4.021519	4.686634	4.953991	4.540899	4.784288	3.837765	3.704715	3.920993	3.813522	3.527111	4.439799	4.21451	4.480907	5.158494	3.541705	4.038833	7.065477	6.335507	10.17696	4.244411	3.590543	6.880055	3.405075	5.007423	3.818869	4.250306	3.788348	3.30067	4.254542	6.959544	3.70884	3.980812	4.188769	4.002979	3.656057
IPC298_SKIN	4.258802	3.901675	8.360694	7.995119	3.805624	7.535121	5.286015	6.217256	5.552588	4.307402	3.707287	6.407909	4.19909	5.60368	4.604539	3.647059	4.391838	3.840208	3.93301	7.902914	4.934344	4.625427	4.42437	3.833986	3.49068	4.311782	3.722587	3.709785	4.803116	4.048717	4.052643	5.246975	3.768824	4.359676	9.174393	6.244035	10.03592	3.640339	3.640903	3.537454	3.562891	6.972146	4.387727	3.844285	3.903378	3.605065	4.472372	8.168967	3.624394	3.941834	4.257804	4.025726	5.5394
CAPAN2_PANCREAS	4.020137	3.912658	5.647704	9.423052	3.688396	5.017754	5.239869	7.502409	5.450542	3.96331	4.098714	6.105403	4.275935	5.463839	4.329752	3.411456	4.672766	3.933975	4.452084	5.803058	4.949421	7.151348	3.659403	3.892366	3.375455	4.200404	3.631036	3.537712	4.623275	4.171466	4.105226	5.183862	8.237966	4.336149	5.90067	6.716487	9.534005	3.811986	3.649106	3.659618	3.717492	7.091609	5.806251	4.556066	4.083726	3.789419	4.586011	7.695053	8.141003	4.132824	6.194156	6.141495	4.688986
EFM192A_BREAST	4.268045	3.790718	6.252146	7.308667	4.079072	6.740429	5.195439	7.972822	5.390396	3.595053	3.727581	6.127883	4.608321	11.57801	5.031315	3.77815	5.534298	4.409589	6.370006	6.768101	4.834191	4.85324	4.529152	6.097452	3.603905	4.161601	3.873782	3.531378	4.727543	3.939381	4.214201	4.956105	3.560523	4.362733	5.434117	5.221533	9.115457	7.857335	4.031483	4.38833	3.428253	4.32682	5.821694	3.774576	6.168351	3.705723	4.092769	6.844921	3.506454	3.899611	4.470797	4.264316	3.634131
HS766T_PANCREAS	4.304922	3.573828	6.18866	8.067882	3.766892	5.780918	4.962484	8.788914	5.579048	4.183882	3.959	6.382645	6.033937	7.584351	4.564522	3.703874	4.273217	3.955028	4.321013	4.280404	4.965885	6.392245	4.002393	4.472789	3.663612	4.127137	4.032326	3.577123	4.466024	4.166696	4.021736	5.070417	6.012806	5.814704	5.872109	7.025305	7.598587	3.886792	3.711105	5.224221	5.025995	5.344614	9.058161	6.276507	5.698994	3.95082	4.843372	7.420856	5.231179	3.999657	5.39339	4.090149	3.892101
