llv.fold	accuracy	balanced.accuracy	coverage	non-sensitive_accuracy	sensitive_accuracy	non-sensitive_coverage	sensitive_coverage
1	0.916666666666667	0.911111111111111	0.888888888888889	0.888888888888889	0.933333333333333	0.818181818181818	0.9375
2	0.740740740740741	0.741758241758242	0.931034482758621	0.769230769230769	0.714285714285714	1	0.875
3	0.684210526315789	0.688888888888889	1	0.6	0.777777777777778	1	1
4	0.789473684210526	0.75	0.904761904761905	1	0.5	1	0.8
5	0.72	0.75	0.806451612903226	0.6	0.9	0.789473684210526	0.833333333333333
6	0.736842105263158	0.757142857142857	0.904761904761905	0.714285714285714	0.8	0.933333333333333	0.833333333333333
7	0.727272727272727	0.8125	0.814814814814815	1	0.625	0.75	0.842105263157895
8	0.875	0.857142857142857	0.8	0.714285714285714	1	0.7	0.9
9	0.684210526315789	0.672222222222222	0.826086956521739	0.444444444444444	0.9	0.9	0.769230769230769
10	0.8125	0.8125	0.761904761904762	0.875	0.75	0.666666666666667	0.888888888888889
