llv.fold	weighting.threshold.upper	weighting.threshold.lower	weighting.threshold	no.ids.labelled	no.ids.unlabelled	no.new.labelled	no.ids.left.unlabelled	iteration	accuracy	balanced.accuracy	coverage	non-sensitive_accuracy	sensitive_accuracy	non-sensitive_coverage	sensitive_coverage
1	2.2252549123383	0	2.11399216672138	221	575	408	167	1	0.823529411764706	0.833333333333333	0.944444444444444	1	0.666666666666667	1	0.9
1	2.2252549123383	0	2.11399216672138	629	167	43	124	2	0.823529411764706	0.833333333333333	0.944444444444444	1	0.666666666666667	1	0.9
1	2.2252549123383	0	2.11399216672138	672	124	19	105	3	0.823529411764706	0.833333333333333	0.944444444444444	1	0.666666666666667	1	0.9
1	2.2252549123383	0	2.11399216672138	691	105	15	90	4	0.823529411764706	0.833333333333333	0.944444444444444	1	0.666666666666667	1	0.9
1	2.2252549123383	0	2.11399216672138	706	90	11	79	5	0.823529411764706	0.833333333333333	0.944444444444444	1	0.666666666666667	1	0.9
1	2.2252549123383	0	2.11399216672138	717	79	9	70	6	0.823529411764706	0.833333333333333	0.944444444444444	1	0.666666666666667	1	0.9
2	2.2252549123383	0	2.11399216672138	211	585	408	177	1	0.928571428571429	0.944444444444444	0.5	0.888888888888889	1	0.5625	0.416666666666667
2	2.2252549123383	0	2.11399216672138	619	177	51	126	2	0.85	0.875	0.714285714285714	0.75	1	0.75	0.666666666666667
2	2.2252549123383	0	2.11399216672138	670	126	18	108	3	0.857142857142857	0.875	0.75	0.75	1	0.75	0.75
2	2.2252549123383	0	2.11399216672138	688	108	17	91	4	0.857142857142857	0.875	0.75	0.75	1	0.75	0.75
2	2.2252549123383	0	2.11399216672138	705	91	11	80	5	0.818181818181818	0.846153846153846	0.785714285714286	0.692307692307692	1	0.8125	0.75
2	2.2252549123383	0	2.11399216672138	716	80	6	74	6	0.818181818181818	0.846153846153846	0.785714285714286	0.692307692307692	1	0.8125	0.75
2	2.2252549123383	0	2.11399216672138	722	74	3	71	7	0.818181818181818	0.846153846153846	0.785714285714286	0.692307692307692	1	0.8125	0.75
