Gene	SecondarySource	PrimarySource
OR52B2	DGI_druggable	dGene HopkinsGroom
HSPA2	DGI_membrane	GO
ELANE	DGI_druggable;DGI_membrane;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;GO;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
CCNE1	Rahul	Amplification may predict sensitivity to CDK2 inhibitors.
OR52B6	DGI_druggable	dGene RussLampel HopkinsGroom
FHIT	DrugBank	
HSPA5	DGI_druggable;DGI_membrane;DrugBank	dGene;GO;
PHOSPHO1	DrugBank	
HRSP12	DrugBank	
CYP11B2	DGI_druggable;DrugBank;TherapeuticTargetsDatabase	RussLampel HopkinsGroom;;
ALDH7A1	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
CELA2A	DGI_druggable;DrugBank	dGene RussLampel HopkinsGroom;
HBA2	TherapeuticTargetsDatabase	
CELA2B	DGI_druggable	dGene HopkinsGroom
LGALS3	DrugBank	
B2M	DGI_membrane;DrugBank	GO;
INCENP	DrugBank	
CD226	DGI_membrane;Computationally obtained list of cell surface genes	GO;Publication_da_Cunha_etal_PMID_19805368
LIFR	Computationally obtained list of cell surface genes	Publication_da_Cunha_etal_PMID_19805368
LGALS2	DrugBank	
ITGA1	DGI_druggable;DGI_membrane;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	HopkinsGroom;GO;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
L3MBTL1	DrugBank	
AGT	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions	dGene RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
ASS1	DrugBank	
SQLE	DGI_druggable;DrugBank;TherapeuticTargetsDatabase	RussLampel HopkinsGroom;;
ALDH6A1	DGI_druggable;DrugBank	RussLampel HopkinsGroom;
CEACAM1	DrugBank;Curated dataset based on clinical trial drug-target interactions;Computationally obtained list of cell surface genes	;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;Publication_da_Cunha_etal_PMID_19805368
CP	DrugBank	
OR52B4	DGI_druggable	dGene HopkinsGroom
IRS1	DrugBank;Curated dataset based on clinical trial drug-target interactions	;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
CAMK1	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab	;dGene RussLampel HopkinsGroom;
PIK3CA	KinasesCuratedByOlenaSofie;DGI_druggable;Rahul;KinasesWitteLab;DrugBank;Curated dataset based on clinical trial drug-target interactions	;dGene RussLampel HopkinsGroom;Mutations may predict sensitivity to PI3K pathway inhibitors -- PI3K inhibitors, AKT inhibitors, and MTOR inhibitors.  Mutations may predict resistance to anti-RTK therapy, including cetuximab, anti-EGFR TKIs, and trastuzumab and lapatinib;;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212
NR0B1	DGI_druggable;DrugBank	dGene RussLampel HopkinsGroom;
GPR183	DGI_druggable	dGene RussLampel HopkinsGroom
PIK3CD	DGI_druggable;DrugBank;Curated dataset based on clinical trial drug-target interactions;TherapeuticTargetsDatabase	dGene RussLampel HopkinsGroom;;Publication_Rask-Andersen,Masuram,Schioth_PMID_24016212;
CAMK4	KinasesCuratedByOlenaSofie;DGI_druggable;KinasesWitteLab;DrugBank	;dGene RussLampel HopkinsGroom;;
