HGNC ID	Approved Symbol	Approved Name	Status	Previous Symbols	Synonyms	Chromosome	Accession Numbers	RefSeq IDs	Gene Family Tag	Gene family description	Gene family ID
4821	HAT1	histone acetyltransferase 1	Approved		KAT1	2q31.2-q33.1	AF030424	NM_003642	KAT	K(lysine) acetyltransferases	486
4667	GTF3C4	general transcription factor IIIC, polypeptide 4, 90kDa	Approved		TFIIIC90, KAT12	9q34.3	AF142328		KAT	K(lysine) acetyltransferases	486
7668	NCOA1	nuclear receptor coactivator 1	Approved		SRC1, F-SRC-1, NCoA-1, KAT13A, RIP160, bHLHe74	2p23	U40396	NM_147223	KAT	K(lysine) acetyltransferases	486
7670	NCOA3	nuclear receptor coactivator 3	Approved		RAC3, AIB1, ACTR, p/CIP, TRAM-1, CAGH16, TNRC16, KAT13B, bHLHe42, SRC-3, SRC3	20q12	AF012108	NM_006534	KAT	K(lysine) acetyltransferases	486
7669	NCOA2	nuclear receptor coactivator 2	Approved		TIF2, GRIP1, NCoA-2, KAT13C, bHLHe75	8q13.3	X97674		KAT	K(lysine) acetyltransferases	486
2082	CLOCK	clock circadian regulator	Approved		KIAA0334, KAT13D, bHLHe8	4q12	AF011568	NM_004898	KAT	K(lysine) acetyltransferases	486
4201	KAT2A	K(lysine) acetyltransferase 2A	Approved	GCN5L2	GCN5, PCAF-b	17q12-q21	AF029777	NM_021078	KAT	K(lysine) acetyltransferases	486
8638	KAT2B	K(lysine) acetyltransferase 2B	Approved	PCAF	P/CAF, GCN5, GCN5L	3p24	U57316	NM_003884	KAT	K(lysine) acetyltransferases	486
2348	CREBBP	CREB binding protein	Approved	RSTS	RTS, CBP, KAT3A	16p13.3	U85962	NM_004380	KAT	K(lysine) acetyltransferases	486
3373	EP300	E1A binding protein p300	Approved		p300, KAT3B	22q13.2	U01877	NM_001429	KAT	K(lysine) acetyltransferases	486
11535	TAF1	TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 250kDa	Approved	TAF2A, BA2R, CCG1, CCGS, DYT3	NSCL2, TAFII250, KAT4, DYT3/TAF1	Xq13.1		NM_004606	KAT	K(lysine) acetyltransferases	486
5275	KAT5	K(lysine) acetyltransferase 5	Approved	HTATIP	TIP60, PLIP, cPLA2, HTATIP1, ESA1, ZC2HC5	11q13	U74667	NM_006388	KAT	K(lysine) acetyltransferases	486
13013	KAT6A	K(lysine) acetyltransferase 6A	Approved	ZNF220, RUNXBP2, MYST3	MOZ, ZC2HC6A	8p11	U47742	NM_006766	KAT	K(lysine) acetyltransferases	486
17582	KAT6B	K(lysine) acetyltransferase 6B	Approved	MYST4	querkopf, qkf, Morf, MOZ2, ZC2HC6B	10q22.2	AF113514	NM_012330	KAT	K(lysine) acetyltransferases	486
